name,id
DAS Alta Verapáz,220
DAS Baja Verapaz,219
DAS Chimaltenango,207
DAS Chiquimula,224
DAS El Progreso,205
DAS Escuintla,208
DAS Guatemala Central,278
DAS Guatemala Nor-Occidente,203
DAS Guatemala Nor-Oriente,202
DAS Guatemala Sur,204
DAS Huehuetenango,216
DAS Ixcán,218
DAS Ixil,283
DAS Izabal,222
DAS Jalapa,225
DAS Jutiapa,226
DAS Petén Norte,221
DAS Petén Sur Occidente,265
DAS Petén Sur Oriente,266
DAS Quetzaltenango,212
DAS Quiché,217
DAS Retalhuleu,214
DAS Sacatepéquez,206
DAS San Marcos,215
DAS Santa Rosa,209
DAS Sololá,210
DAS Suchitepéquez,213
DAS Totonicapán,211
DAS Zacapa,223
